map_no,template_no,question,ground_truth,verified answer,relative_region (y/n),c_or_d,type
20787,16,What value range does state Wisconsin fall in?,248200 - 588000,627600 - 960700,N,d,Range
20787,20,Name the state on the west coast that belongs to a similar value range compared to atleast 2 of its neighbours.,"Oregon, Arizona",West Virginia,Y,d,Single
20787,27,Which states neighbouring Washington have a value lower than Oregon?,"Arizona, Colorado, Oklahoma","Maryland, Virginia, Wyoming",N,d,List
20787,39,Yes or no: all states bordering New Jersey have values in the same range.,No,No,Y,d,Binary
20781,35,How many states bordering Canada have a value similar to Florida?,2,2,N,d,Count
20774,16,What value range does Washington fall in?,0.055-0.06,0.055-0.06,N,c,Range
20746,35,Count the states along the Vermont border with similar values.,,2,Y,c,Count
20746,26,Which states bordering the Great Lakes have a value in the range 0.7-0.8?,Minnesota,North Dakota,N,c,List
20746,16,What value range does state Vermont fall in?,0.8-0.9,0.8-0.9,N,c,Range
20746,36,Which is the westernmost state with a value in the range 0.1-0.2?,Idaho,California,N,c,Single
20746,36,Which is the northern most state with a value in the range 0.4-0.5?,Montana,New Mexico,N,c,Single
20746,18,Yes or no: the value of the state Colorado is lower than its neighbouring state New Mexico.,Yes,No,N,c,Binary
20584,16,What value range (legend markings wise) does Connecticut fall in?,12-14M,10-12M,N,c,Range
20584,13,Which state has the least value on the west coast?,Alaska,West Virginia,N,c,Single
20584,40,Which pair of state with values above 8M are closest to one another?,"Florida, Texas","New Jersey, Connecticut",,c,List
20556,36,"Name the northern most state in the range 1400-18,900.",Maine,Oklahoma,N,d,Single
20556,26,Which states along the east coast have a value same as California?,North Carolina,North Carolina,N,d,List
20556,33,Yes or no: South Carolina and Tennessee are a pair of bordering states with the least difference.,Yes,Yes,Y,d,Binary
20517,35,How many states bordering Delaware belongs to highest range?,,1,Y,d,Count
20517,34,Yes or no: Vermont is the North most state that has a similar value compared to all its neighbours.,No,No,Y,d,Binary
20517,16,What value range does state Oklahoma fall in?,8.2% - 10.4%,8.2% - 10.4%,N,d,Range
20517,13,Which state has the second highest value along the west coast?,California and Washington,California and Louisiana,N,d,Single
20517,26,Which states in the west coast region have a value higher than 12.7%?,Oregon,West Virginia,N,d,List
19332,35,How many states along the east coast have a value similar to California?,7,6,N,d,Count
19332,36,Name the southern-most state in the range 950-1400.,Utah,Florida,N,d,Single
19332,20,Name the westmost state that belongs to a higher value range compared to all its neighbours.,Idaho,Michigan,Y,d,Single
19332,15,Which state on the West Coast has the highest value?,Oregon,West Virginia,N,d,List
19332,19,Yes or no: the value of  New Jersey is higher than Oklahoma.,Yes,Yes,N,d,Binary
18501,35,How many states bordering Canada have a value similar to Connecticut?,1,1,N,d,Count
18501,15,Which state on the east coast has the highest value?,"New York ,Florida","Oregon, New Jersey",N,d,List
18501,22,Yes or no: States bordering the Great Lakes have lower values on average than states bordering Great Salt Lake.,No,No,N,d,Binary
18402,12,What is the least value range in the west coast region?,<0.05,<0.05,N,c,Range
18402,15,Which state along the Canada border region has the lowest value?,New Hampshire,Oklahoma,N,c,List
