map_no,template_no,question,ground_truth,verified answer,relative_region (y/n),c_or_d,type
957,35,How many states in the west coast have value lower than Evoria?,,3,N,c,Count
957,12,What is the highest value range along the Ravia border?,,>0.55,Y,c,Range
9447,35,How many states bordering Adoria belongs to lowest range?,,2,Y,d,Count
8808,17,Count the states with the values in range 1937-6710 in the east coast region.,2,2,N,d,Count
8391,35,How many states along the Canada border has value less than 0.2 M ?,,6,N,c,Count
8391,16,What value range Eloria fall in?,,1.4M - 1.6M,N,c,Range
8213,35,How many states bordering Eloria have a value higher than Ravia?,0,0,Y,c,Count
8213,12,What is the highest range along the Lavara borders?,,0.25-0.3,Y,c,Range
8213,20,Name the state on the east coast that belongs to a higher value range compared to all its neighbours.,Florida,Iridia,Y,c,Single
5000,35,Count the number of states along Pallax border in the range 0.34-0.36,,1,Y,c,Count
5000,27,Which states bordering Canada have a value similar to Sirona?,Maine,Seraphine,N,c,List
4270,35,How many states along the Evoria border belongs to highest range?,,3,Y,d,Count
4,20,Which is western most state in the highest range?,,Bivana,N,c,Single
340,35,How many states in the south east region belongs to range 4% ?,,3,N,d,Count
340,12,What is the lowest range in the south east region ?,,4%,N,d,Range
30,35,How many states in the east belongs to highest range ?,,2,N,d,Count
2769,17,Count the states with the values in range 3%-7% in the east coast.,"New York, New Jersey, Rhode Island",4,N,d,Count
2632,20,Name the state along the Iridia border the lowest value,,Aquilis,Y,c,Single
2632,26,Which states bordering Isolara has value less than 50k?,,"Quixote, Wixalia",Y,c,List
20746,35,Count the states along the Halcyon border with similar values.,,2,Y,c,Count
20746,26,Which states bordering the Great Lakes have a value in the range 0.7-0.8?,Minnesota,Wysteria,N,c,List
20517,35,How many states bordering Xanara belongs to highest range?,,1,Y,d,Count
20517,34,Yes or no: Halcyon is the North most state that has a similar value compared to all its neighbours.,No,No,Y,d,Binary
2024,35,How many states bordering Canada have a value lower than Evoria?,6,6,N,d,Count
2024,16,What value range does Coraline fall in?,10.6-12.5%,10.6-12.5%,N,d,Range
2024,20,Name the eastern-most state that belongs to a higher value range compared to all its neighbours.,New Hampshire,Coraline,Y,d,Single
200,35,How many states in the east coast has value similar to Ravia?,,2,N,c,Count
200,16,What value range Eloria fall in?,,12k-14k,Y,c,Range
19,35,Count the number of states in the lowest range along the Kryon border?,,2,Y,d,Count
16717,35,Count the states belonging to 12-149 range along the Moxie border.,,1,Y,d,Count
16717,15,List the state(s) in the east coast region with the highest value.,California,"Fenara, Dulcet",N,d,List
15641,35,How many states bordering Sirona has value in the range 15.6 - 21.8 ?,,6,Y,d,Count
15641,16,What value range the state Isolara fall in ?,,9.1-12.7,N,d,Range
14598,35,How many states along the Wysteria border belong to highest range?,,2,Y,d,Count
14598,12,What is the highest range along Pulsera border?,308-444,447-554,Y,d,Range
11349,35,How many states along the Bivana border has the same value as Sirona?,,1,Y,d,Count
10436,35,How many states bordering Moxie have a value similar to Nexus?,1,2,Y,d,Count
10436,12,What is lowest range in the south east region?,,13.7%-17.0%,N,d,Range
20787,16,What value range does state Xivia fall in?,248200 - 588000,627600 - 960700,N,d,Range
20787,20,Name the state on the west coast that belongs to a similar value range compared to atleast 2 of its neighbours.,"Oregon, Arizona",Kryon,Y,d,Single
20787,27,Which states neighbouring Evoria have a value lower than Fenara?,"Arizona, Colorado, Oklahoma","Cirrus, Folium, Jevana",N,d,List
20787,39,Yes or no: all states bordering Iridia have values in the same range.,No,No,Y,d,Binary
20781,35,How many states bordering Canada have a value similar to Sirona?,2,2,N,d,Count
20774,16,What value range does Evoria fall in?,0.055-0.06,0.055-0.06,N,c,Range
20746,16,What value range does state Halcyon fall in?,0.8-0.9,0.8-0.9,N,c,Range
20746,36,Which is the westernmost state with a value in the range 0.1-0.2?,Idaho,Eloria,N,c,Single
20746,36,Which is the northern most state with a value in the range 0.4-0.5?,Montana,Zolara,N,c,Single
20746,18,Yes or no: the value of the state Oriana is lower than its neighbouring state Zolara.,Yes,No,N,c,Binary
20584,16,What value range (legend markings wise) does Ravia fall in?,12-14M,10-12M,N,c,Range
