map_no,template_no,question,original_data_answer,verified answer,relative_region (y/n),c_or_d,type
957,35,How many states in the west coast have value lower than New Mexico?,3,3,N,c,Count
957,12,What is the highest value range along the Texas border?,>0.55,>0.55,Y,c,Range
9447,35,How many states bordering Nebraska belongs to lowest range?,2,1,Y,d,Count
8808,17,Count the states with the values in range 1937-6710 in the east coast region.,2,4,N,d,Count
8391,35,How many states along the Canada border has value less than 0.2 M ?,6,4,N,c,Count
8391,16,What value range California fall in?,1.4M - 1.6M,<0.2M,N,c,Range
8213,35,How many states bordering California have a value higher than Texas?,0,6,Y,c,Count
8213,12,What is the highest range along the Idaho borders?,0.25-0.3,0.25-0.3,Y,c,Range
8213,20,Name the state on the east coast that belongs to a higher value range compared to all its neighbours.,Florida,South Carolina,Y,c,Single
5000,35,Count the number of states along Kansas border in the range 0.34-0.36,1,0,Y,c,Count
5000,27,Which states bordering Canada have a value similar to Utah?,Maine,Idaho,N,c,List
4270,35,How many states along the New Mexico border belongs to highest range?,3,1,Y,d,Count
4,20,Which is western most state in the highest range?,Nevada,Utah,N,c,Single
340,35,How many states in the south east region belongs to range 4% ?,3,4,N,d,Count
340,12,What is the lowest range in the south east region ?,4%,0.04,N,d,Range
30,35,How many states in the east belongs to highest range ?,2,2,N,d,Count
2769,17,Count the states with the values in range 3%-7% in the east coast.,4,5,N,d,Count
2632,20,Name the state along the Florida border the lowest value,Alabama,Alabama,Y,c,Single
2632,26,Which states bordering Ohio has value less than 50k?,"Kentucky, West Virginia","Indiana, Kentucky, Pennsylvania",Y,c,List
20746,35,Count the states along the North Dakota border with similar values.,2,2,Y,c,Count
20746,26,Which states bordering the Great Lakes have a value in the range 0.7-0.8?,Minnesota,Pennsylvania,N,c,List
20517,35,How many states bordering Wisconsin belongs to highest range?,1,1,Y,d,Count
20517,34,Yes or no: North Dakota is the North most state that has a similar value compared to all its neighbours.,No,No,Y,d,Binary
2024,35,How many states bordering Canada have a value lower than New Mexico?,6,3,N,d,Count
2024,16,What value range does New Hampshire fall in?,10.6-12.5%,9.4%-10.5%,N,d,Range
2024,20,Name the eastern-most state that belongs to a higher value range compared to all its neighbours.,New Hampshire,New Jersey,Y,d,Single
200,35,How many states in the east coast has value similar to Texas?,2,2,N,c,Count
200,16,What value range California fall in?,12k-14k,2k-4k,Y,c,Range
19,35,Count the number of states in the lowest range along the Oregon border?,2,3,Y,d,Count
16717,35,Count the states belonging to 12-149 range along the Illinois border.,1,19,Y,d,Count
16717,15,List the state(s) in the east coast region with the highest value.,"New York, New Jersey","North Carolina, Maryland, Massachusetts",N,d,List
15641,35,How many states bordering Utah has value in the range 15.6 - 21.8 ?,6,1,Y,d,Count
15641,16,What value range the state Ohio fall in ?,9.1-12.7,9.1-12.7,N,d,Range
14598,35,How many states along the Minnesota border belong to highest range?,2,1,Y,d,Count
14598,12,What is the highest range along Tennessee border?,447-554,564-862,Y,d,Range
11349,35,How many states along the Nevada border has the same value as Utah?,1,2,Y,d,Count
10436,35,How many states bordering Illinois have a value similar to South Carolina?,2,2,Y,d,Count
10436,12,What is lowest range in the south east region?,13.7%-17.0%,10.2%-13.6%,N,d,Range
20787,16,What value range does state Mississippi fall in?,627600 - 960700,"627,600-960,700",N,d,Range
20787,20,Name the state on the west coast that belongs to a similar value range compared to atleast 2 of its neighbours.,Oregon,"California, Oregon",Y,d,Single
20787,27,Which states neighbouring New Mexico have a value lower than New York?,"Arizona, Colorado, Oklahoma","Utah, Arizona, Colorado, Texas",N,d,List
20787,39,Yes or no: all states bordering Florida have values in the same range.,No,Yes,Y,d,Binary
20781,35,How many states bordering Canada have a value similar to Utah?,2,6,N,d,Count
20774,16,What value range does New Mexico fall in?,0.055-0.06,0.035-0.04,N,c,Range
20746,16,What value range does state North Dakota fall in?,0.8-0.9,0.4-0.5,N,c,Range
20746,36,Which is the westernmost state with a value in the range 0.1-0.2?,California,Nevada,N,c,Single
20746,36,Which is the northern most state with a value in the range 0.4-0.5?,Montana,North Dakota,N,c,Single
20746,18,Yes or no: the value of the state South Dakota is lower than its neighbouring state Montana.,No,Yes,N,c,Binary
20584,16,What value range (legend markings wise) does Texas fall in?,10-12M,10M-12M,N,c,Range
20584,13,Which state has the least value on the west coast?,Oregon,California,N,c,Single
20584,40,Which pair of state with values above 8M are closest to one another?,"Florida, Texas","New Mexico, Texas",,c,List
20556,36,"Name the northern most state in the range 1400-18,900.",Maine,Minnesota,N,d,Single
20556,26,Which states along the east coast have a value same as California?,North Carolina,"Georgia, Connecticut, Massachusetts",N,d,List
20556,33,Yes or no: Iowa and Missouri are a pair of bordering states with the least difference.,Yes,No,Y,d,Binary
20517,16,What value range does state Maine fall in?,8.2% - 10.4%,8.2%-10.4%,N,d,Range
20517,13,Which state has the second highest value along the west coast?,California and Washington,Washington,N,d,Single
20517,26,Which states in the west coast region have a value higher than 12.7%?,Oregon,Oregon,N,d,List
19332,35,How many states along the east coast have a value similar to California?,6,1,N,d,Count
19332,36,Name the southern-most state in the range 950-1400.,Utah,Arizona,N,d,Single
19332,20,Name the westmost state that belongs to a higher value range compared to all its neighbours.,Idaho,Michigan,Y,d,Single
19332,15,Which state on the West Coast has the highest value?,Oregon,Oregon,N,d,List
