map_no,template_no,question,ground_truth,c_or_d,relative_region (y/n),comments,type (Single/list/Binary/Count/Range etc),type,
1_3C,6,Yes or no: the map depicts absolute values.,Yes,c,N,,,Binary,
1_3C,19,Yes or no: the value of the state Jiangsu is similar to state Zhejiang.,Yes,,N,,,Binary,
1_3C,15,List the states bordering North Korea with the highest value.,Liaoning,,Y,,,List,
1_3C,3,What is the overall range of the legend?,5k-40k,,N,,,Range,
1_3C,18,Yes or no: the value of Shanghai is higher than its neighbouring state Zhejiang.,Yes,,Y,,,Binary,Done by Prerana
1_3C,5,Yes or no: the legend has multiple distinct colours.,No,,N,,,Binary,
1_3C,28,Which state bordering Mongolia has the closest value to state Fujian?,Inner Mongolia,,Y,Inner Mongolia??,,List,
1_3C,20,Name the East most state that has a higher value compared to all its neighbours.,Shanghai,,Y,,,Single,
1_3C,21,Yes or no: state Qinghai has the highest value among the states bordering Tibet .,No,,Y,,,Binary,
1_3C,39,Yes or no: all states bordering Russia have values in range 35000 - 40000.,No,,N,,,Binary,
2_3C,22,Yes or no: States bordering Mongolia have lower values on average than states bordering India.,No,c,N,,,Binary,
2_3C,32,Yes or no: Hunan is an outlier compared to other states along the Indian border.,No,,N,,,Binary,
2_3C,6,Yes or no: the map depicts absolute values.,Yes,,N,this is duplicate (this is not an issue),,Binary,
2_3C,36,Name the west most state with values in range < -30.,Tibet,,N,"not sure, is tibet considered south most or western??",,Single,
2_3C,30,Does Jilin have the same value as Beijing amongst the states in the north east region?,No,,N,,,Binary,
2_3C,5,Yes or no: the legend has different shades of the same colour.,Yes,,N,,,Binary,
2_3C,28,Which state bordering South China Sea has the closest value to Xinjiang?,Guangdong,,Y,,,List,
2_3C,34,Yes or no: Heilongjiang is the North most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
2_3C,33,Yes or no: Tibet and Qinghai are the pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
2_3C,27,Which states bordering South China Sea have a similar value as Tibet?,None,,Y,"question seems fine, so not replacing anything here",,List,
